,Longitude,Latitude,Code,Metro,Cluster,Region
1760,-77.61669922,35.3266983,ISO,ISO,14,N
1761,-77.61170197,34.83029938,OAJ,OAJ,14,N
1762,-77.58329773,39.75,WAY,WAY,14,N
1763,-77.51809692,38.72190094,MNZ,MNZ,14,N
1764,-77.45749664,38.94169998,IAD,WAS,14,N
1765,-77.44999695,41.13330078,LHV,LHV,14,N
1766,-77.41670227,39.41669846,FDK,FDK,14,N
1767,-77.40000153,37.21670151,FLE,PTB,14,N
1768,-77.40000153,37.21670151,PTB,PTB,14,N
1769,-77.38529968,35.63330078,PGV,PGV,14,N
1770,-77.34999847,38.04999924,APH,APH,14,N
1771,-77.32250214,37.5060997,RIC,RIC,14,N
1772,-77.32250214,37.5060997,ZRD,RIC,14,N
1773,-77.30500031,38.50419998,NYG,NYG,14,N
1774,-77.23329926,39.83330154,GTY,GTY,14,N
1775,-77.19999695,39.15000153,GAI,GAI,14,N
1776,-77.18029785,38.71450043,DAA,DAA,14,N
1777,-77.16940308,38.88560104,ZRZ,WAS,14,N
1778,-77.16940308,38.88560104,ZWU,WAS,14,N
1779,-77.15000153,38.78329849,ZFO,ZFO,14,N
1780,-77.13330078,41.91669846,VEX,VEX,14,N
1781,-77.0667038,38.76670074,JPN,WAS,14,N
1782,-77.05000305,35.54999924,OCW,OCW,14,N
1783,-77.04250336,35.07360077,EWN,EWN,14,N
1784,-77.03690338,38.85169983,DCA,WAS,14,N
1785,-77.03330231,38.90000153,BOF,WAS,14,N
1786,-77.01329803,38.86330032,BZS,WAS,14,N
1787,-77,38.86669922,NDV,NDV,14,N
1788,-76.9332962,36.68330002,FKN,FKN,14,N
1789,-76.92279816,38.98059845,CGS,CGS,14,N
1790,-76.92060089,41.24219894,IPT,IPT,14,N
1791,-76.91670227,39.03329849,ZFE,ZFE,14,N
1792,-76.89530182,42.16080093,ELM,ELM,14,N
1793,-76.88220215,42.71530151,RQO,RQO,14,N
1794,-76.86720276,38.81079865,NSF,ADW,14,N
1795,-76.86660004,38.81079865,ADW,ADW,14,N
1796,-76.85220337,40.21609879,HAR,HAR,14,N
1797,-76.85220337,40.21609879,ZUG,HAR,14,N
1798,-76.84999847,40.78329849,SEG,SEG,14,N
1799,-76.79669952,42.65470123,WQA,WQA,14,N
1800,-76.7621994,40.19309998,MDT,HAR,14,N
1801,-76.75939941,39.08539963,FME,FME,14,N
1802,-76.71669769,39.95000076,THV,THV,14,N
1803,-76.6832962,39.18610001,GBO,BWI,14,N
1804,-76.66999817,39.17499924,BWI,WAS,14,N
1805,-76.66670227,38.25,LTW,LTW,14,N
1806,-76.66670227,39.16669846,ZBP,BWI,14,N
1807,-76.65000153,36.06669998,EDE,EDE,14,N
1808,-76.63330078,38.28329849,XSM,XSM,14,N
1809,-76.59999847,37.16669846,FAF,FAF,14,N
1810,-76.56929779,40.43479919,MUI,MUI,14,N
1811,-76.5,38.98329926,ANP,ANP,14,N
1812,-76.49389648,37.13079834,ZWB,PHF,14,N
1813,-76.49389648,37.13079834,ZWW,PHF,14,N
1814,-76.49330139,37.13169861,PHF,PHF,14,N
1815,-76.45809937,42.49029922,ITH,ITH,14,N
1816,-76.4332962,38.29999924,NHK,NHK,14,N
1817,-76.41169739,39.32170105,MTN,BWI,14,N
1818,-76.3608017,37.08209991,LFI,PHF,14,N
1819,-76.29969788,40.12110138,LNS,LNS,14,N
1820,-76.29969788,40.12110138,ZRL,LNS,14,N
1821,-76.29060364,36.93719864,NGU,ORF,14,N
1822,-76.28330231,36.83330154,HTW,HTW,14,N
1823,-76.20140076,36.89580154,ORF,ORF,14,N
1824,-76.1832962,42.59999847,CTX,CTX,14,N
1825,-76.17310333,36.25920105,ECG,ECG,14,N
1826,-76.16999817,39.46609879,APG,APG,14,N
1827,-76.10250092,43.11059952,SYR,SYR,14,N
1828,-76.10250092,43.11059952,ZYQ,SYR,14,N
1829,-76.08329773,38.56669998,CGE,CGE,14,N
1830,-76.06780243,38.80279922,ESN,ESN,14,N
1831,-76.03330231,36.81669998,NTU,NTU,14,N
1832,-76.02140045,43.99079895,ART,ART,15,O
1833,-75.9910965,40.9864006,HZL,HZL,14,N
1834,-75.96920013,42.20140076,BGM,BGM,14,N
1835,-75.96389771,40.37860107,RDG,RDG,14,N
1836,-75.90000153,44.25,AXB,AXB,15,O
1837,-75.88330078,41.23329926,WBW,AVP,14,N
1838,-75.83329773,39.98329926,CTH,CTH,14,N
1839,-75.78829956,36.25329971,DUF,DUF,14,N
1840,-75.78330231,37.63330078,MFV,MFV,14,N
1841,-75.72579956,41.33919907,AVP,AVP,14,N
1842,-75.69999695,35.21670151,HNC,HNC,14,N
1843,-75.69529724,35.9192009,MEO,MEO,14,N
